date,energy,enthalpy
2019-10-28,6581.52,23293.00923
2019-10-29,6587.717143,23424.571
2019-10-30,6594.017143,23765.02264
2019-10-31,6621.128571,24341.42904
2019-11-01,6639.814286,24119.76555
2019-11-02,6664.251429,22890.79332
2019-11-03,6659.331429,22376.06634
2019-11-04,6701.734286,20421.19963
2019-11-05,6730.011429,19557.08185
2019-11-06,6747.197143,16748.49916
2019-11-07,6768.737143,14155.07714
2019-11-08,6824.108571,11841.61785
2019-11-09,6888.557143,10694.18785
2019-11-10,6899.125714,10054.44013
2019-11-11,6924.78,8195.155085
2019-11-12,6944.725714,5040.900953
2019-11-13,6995.554286,2032.04379
2019-11-14,7048.285714,381.6218119
2019-11-15,7042.345714,963.3559144
2019-11-16,7049.382857,-346.4974272
2019-11-17,7146.994286,-2694.474763
2019-11-18,7177.662857,-3237.548234
2019-11-19,7166.528571,-2211.833795
2019-11-20,7135.568571,62.13659412
2019-11-21,7102.662857,1361.808217
2019-11-22,7079.434286,1903.016169
2019-11-23,7059.24,3307.680644
2019-11-24,6995.614286,5374.122457
2019-11-25,6943.825714,7398.60375
2019-11-26,6935.82,8721.726878
2019-11-27,6916.191429,8986.887965
2019-11-28,6878.982857,9188.060936
2019-11-29,6865.157143,7881.080195
2019-11-30,6890.511429,6679.467492
2019-12-01,6938.931429,4471.526458
2019-12-02,6950.802857,2699.171864
2019-12-03,6967.457143,795.6335904
2019-12-04,7010.048571,-117.3701494
2019-12-05,7048.405714,-465.3554733
2019-12-06,7111.482857,-858.6961776
2019-12-07,7119.951429,-723.7056348
2019-12-08,7131.78,-138.757355
2019-12-09,7144.654286,1538.026071
2019-12-10,7135.491429,3764.176036
2019-12-11,7176.36,2750.986541
2019-12-12,7239.017143,1270.441888
2019-12-13,7230.377143,1744.82763
2019-12-14,7175.828571,3877.327372
2019-12-15,7119.677143,5282.530397
2019-12-16,7173.557143,2828.170592
2019-12-17,7204.431429,865.3701864
2019-12-18,7175.125714,1665.953706
2019-12-19,7225.054286,-163.3508337
2019-12-20,7295.048571,-2637.75848
2019-12-21,7392.728571,-5507.661096
2019-12-22,7433.828571,-6496.505914
2019-12-23,7378.688571,-4275.123841
2019-12-24,7380.488571,-3860.190669
2019-12-25,7147.242857,-4096.844577
2019-12-26,6920.374286,-2134.178204
2019-12-27,6839.622857,388.8545711
2019-12-28,6757.294286,3570.429191
2019-12-29,6736.32,4734.152385
2019-12-30,6781.32,3409.329074
2019-12-31,6786.24,3691.957713
2020-01-01,6902.228571,4894.20785
2020-01-02,7004.7,6542.210429
2020-01-03,6986.297143,7820.161909
2020-01-04,6964.182857,7425.808393
2020-01-05,6952.32,6707.666306
2020-01-06,6952.62,5175.548096
2020-01-07,6962.16,3887.139488
2020-01-08,7056.694286,3129.129492
2020-01-09,7112.691429,314.4980646
2020-01-10,7145.202857,-1712.735548
2020-01-11,7147.405714,-1194.26704
2020-01-12,7138.757143,-1318.136364
2020-01-13,7134.72,-1250.905194
2020-01-14,7137.351429,-1521.850773
2020-01-15,7149.454286,-1676.456098
2020-01-16,7101.677143,677.1507083
2020-01-17,6988.885714,-1264.505693
2020-01-18,7152.548571,-5202.462005
2020-01-19,7234.071429,-6547.314603
2020-01-20,7223.785714,-7451.033777
2020-01-21,7156.551429,-8674.697895
2020-01-22,7193.974286,-8623.91414
2020-01-23,7236.728571,-8683.247734
2020-01-24,7343.1,-6032.276086
2020-01-25,7202.905714,-3221.671142
2020-01-26,7144.311429,-648.1936007
2020-01-27,7137.685714,2779.458087
2020-01-28,7192.731429,5824.590493
2020-01-29,7199.494286,4778.899913
